Ticker,Best Model,Precision,Specificity,Recall,Good Model,PM_max_to_prevDayClose_ratio_class,PM_max_vs_PM_max_1dayago_class,AH_max_1dayago_to_Close_class,open_to_prev_close_class,day_of_week,high_quad_q_rel_class,Close_to_prevDayClose_class,PM_max_to_PM_min_ratio_class,Close_to_Close_1_day_ago_class,AH_max_1dayago_vs_prevDayClose_class,PM_min_to_Close_ratio_class,PM_max_to_dayOpen_ratio_class,PM_time_diff_class,dayOpen_to_prev2DayOpen_ratio_class,dayOpen_to_prevDayClose_class,Close_to_prevDayOpen_class,PM_range_to_close_ratio_class,prev2DayClose_to_prevDayClose_ratio_class,high_quad_p_rel_class,PM_min_to_prevDayOpen_ratio_class,Close_to_open_ratio_class,PM_max_to_Close_ratio_class,time_in_minutes,PM_min_to_prevDayClose_ratio_class,PM_max_to_prevDayOpen_ratio_class,PM_min_to_open_ratio_class,dayOpen_to_prevDayOpen_ratio_class,return_1d_to_return_2d_ratio_class,PM_range_to_open_ratio_class,high_slope_rel_class,return_2d_class,hist_close_ratio_class,AH_max_1dayago_vs_PM_max_class,Close_to_prevDayHigh_class,Close_to_EMA_48_class,Open_1_day_ago_to_Close_1_day_ago_ratio_class
ODFL,XGB7_ODFL_15,0.881578947368421,0.9142857142857143,0.432258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKR,RF1a_BKR_3,0.9310344827586207,0.975,0.2488479262672811,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
V,XGB18_V_10,0.8372093023255814,0.9717741935483871,0.27906976744186046,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
ORCL,RF1a_ORCL_9,0.9423076923076923,0.9828571428571429,0.24257425742574257,0.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
WU,DT3_WU_24,1.0,1.0,0.25,0.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
KO,RF5_KO_11,0.9736842105263158,0.9956521739130435,0.25170068027210885,-1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,
JPM,XGB7_JPM_6,0.9518072289156626,0.9760479041916168,0.3761904761904762,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,
JNJ,DT1_JNJ_3,0.8888888888888888,0.9823008849557522,0.2119205298013245,-1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
F,RF5_F_15,1.0,1.0,0.23423423423423423,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,RF5_AAPL_11,0.8918918918918919,0.9823008849557522,0.2185430463576159,0.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,
CVS,RF5_CVS_26,0.8888888888888888,0.954248366013072,0.25,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
IDXX,DT5_IDXX_27,0.9230769230769231,0.9565217391304348,0.5901639344262295,-1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
NKE,RF5_NKE_0,0.9743589743589743,0.995049504950495,0.21714285714285714,0.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
NUE,XGB17_NUE_22,0.8351648351648352,0.9112426035502958,0.36538461538461536,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
TSN,DT6_TSN_27,0.8269230769230769,0.9072164948453608,0.5058823529411764,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
JNJ,RF3_JNJ_17,0.9714285714285714,0.9951690821256038,0.21656050955414013,0.0,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,
ORCL,RF1a_ORCL_4,0.9423076923076923,0.9818181818181818,0.24623115577889448,0.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
NKE,RF5_NKE_0,0.9743589743589743,0.9947643979057592,0.21965317919075145,0.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
JPM,RF4_JPM_28,0.9411764705882353,0.9819277108433735,0.24242424242424243,0.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0
GOOGL,RF1_GOOGL_9,0.8428571428571429,0.9473684210526315,0.38064516129032255,-1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
CVS,RF5_CVS_26,0.8660714285714286,0.9038461538461539,0.46634615384615385,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
AAPL,RF5_AAPL_13,0.9318181818181818,0.983957219251337,0.23163841807909605,-1.0,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,
V,XGB7_V_20,1.0,1.0,0.21897810218978103,0.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,
NUE,RF6_NUE_5,0.8363636363636363,0.9447852760736196,0.22885572139303484,-1.0,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,
UBER,RF5_UBER_24,1.0,1.0,0.22285714285714286,-1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
TSN,RF7_TSN_27,0.9038461538461539,0.954954954954955,0.4845360824742268,0.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
IPG,RF5_IPG_24,0.9615384615384616,0.9875,0.3968253968253968,0.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
NFLX,DT5_NFLX_7,0.8717948717948718,0.9473684210526315,0.3008849557522124,0.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,
JPM,XGB7_JPM_11,0.94,0.970873786407767,0.44761904761904764,-1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,
AMD,DT4_AMD_4,0.8217821782178217,0.8922155688622755,0.3333333333333333,-1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
CME,DT5_CME_31,0.9772727272727273,0.9915254237288136,0.4777777777777778,-1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,
V,XGB9_V_20,0.9655172413793104,0.996415770609319,0.20437956204379562,0.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,
CVS,RF5_CVS_26,0.8571428571428571,0.9293478260869565,0.33620689655172414,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
TSN,DT1_TSN_12,0.9038461538461539,0.9612403100775194,0.3983050847457627,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,
NKE,RF6_NKE_27,0.9787234042553191,0.9952380952380953,0.22330097087378642,-1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
ODFL,XGB7_ODFL_7,0.8641975308641975,0.9112903225806451,0.4697986577181208,-1.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,
KO,XGB1_KO_9,0.9512195121951219,0.9912280701754386,0.2074468085106383,-1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
CME,RF1a_CME_4,0.9615384615384616,0.9826086956521739,0.5376344086021505,0.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
WU,DT3_WU_27,0.9615384615384616,0.9970845481049563,0.3424657534246575,0.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
TSN,DT3_TSN_20,0.9743589743589743,0.9922480620155039,0.2638888888888889,0.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,
KO,DT6_KO_9,0.881578947368421,0.9612068965517241,0.3641304347826087,-1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,
NKE,RF7_NKE_27,0.9807692307692307,0.9948186528497409,0.22869955156950672,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
PFE,XGB18_PFE_4,0.89,0.9584905660377359,0.5894039735099338,-1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
JPM,RF4_JPM_28,0.9056603773584906,0.9776785714285714,0.25,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0
JNJ,DT3_JNJ_8,0.8461538461538461,0.9425837320574163,0.3188405797101449,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,
TSN,RF7_TSN_27,0.8717948717948718,0.9659863945578231,0.2236842105263158,0.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,
JPM,RF7_JPM_18,0.8714285714285714,0.9590909090909091,0.3112244897959184,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0
JNJ,DT4_JNJ_12,0.9230769230769231,0.976303317535545,0.2926829268292683,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,
